"uf" "municipio" "populacao" "total_despesas" "despesas_legislativas" "despesas_administrativas" "despesas_seguranca" "despesas_assis_social" "despesas_saude"
"129" "MG" "Capim Branco" 9030 13461762.48 466128.17 3183474.45 0 336050.49 2992330.4
"130" "MG" "Capinopolis" 15424 30282553.73 1080728.71 4034245 0 855548.63 7615458.95
"131" "MG" "Capitao Eneas" 14372 22953441.28 739937.11 4339307.22 66244.17 456928.31 5334208.53
"132" "MG" "Capitolio" 8251 19546960.47 254253.56 4559452.74 42045.47 701578.03 5535609.6
"133" "MG" "Caputira" 9060 14263351.86 475301.92 1838680.06 5581.63 330394.47 3070273.61
"134" "MG" "Carai" 22549 27240567.97 52731.48 3093295.47 31818.42 1134935.82 6248446.21
"135" "MG" "Caranaiba" 3260 10024265.99 424765.25 2006799.79 0 353644.05 2426259.06
"136" "MG" "Carandai" 23692 39188801.79 1610888.47 3481773.51 0 666741.85 10614429.62
"137" "MG" "Carangola" 32353 52182109.59 1258580.18 4700875.86 94923.32 1343472.47 11254682.16
"138" "MG" "Caratinga" 86364 110418505.27 3827449.75 11437558.58 209782.6 5330720.84 40928230.64
"139" "MG" "Carbonita" 9176 15471469.43 667665.16 1563922.84 20550.73 841317.21 3468816.76
"140" "MG" "Careacu" 6372 13038074.15 452011.5 1607674.43 40694.57 551094.41 2505413.06
"141" "MG" "Carlos Chagas" 19779 34567119.72 1288257.09 9936545.51 84375.17 855293.75 6543686.78
"142" "MG" "Carmesia" 2477 9914110.37 388499.7 1731336.31 12606.85 683400.42 2201477.64
"143" "MG" "Carmo da Cachoeira" 11872 20488170.93 542594.96 2201559.53 47070.2 702311.57 4864168.88
"144" "MG" "Carmo da Mata" 11007 17720607 755209 3197278 37837 208661 3795017
"145" "MG" "Carmo de Minas" 13932 22547470.94 789240.33 3894353.23 20003.69 525809.82 5300845.49
"146" "MG" "Carmo do Cajuru" 20444 30030945.92 783030.6 5280519.47 76666.83 834257.34 7186789.24
"147" "MG" "Carmo do Paranaiba" 29777 48146448.02 1185330.84 2969613.73 129183.2 1917410.48 14347736.78
"148" "MG" "Carmo do Rio Claro" 20531 40700389.11 1158776.08 8751854.47 39808.96 1847718.58 11039364.71
"149" "MG" "Carmopolis de Minas" 17456 29371288.38 1215347.48 3889195.78 14917.26 594960.03 8407798.91
"150" "MG" "Carneirinho" 9556 37413042.74 1766040.79 8081633.39 47422.23 1001829.31 8787079.79
"151" "MG" "Carrancas" 3958 9824740.66 213010.5 1140041.67 33051.67 526364.86 2525800.19
"152" "MG" "Carvalhopolis" 3380 11298593.59 309959.21 1123482.23 0 414251.92 2229599.98
"153" "MG" "Carvalhos" 4530 8728525.89 321068.36 731032.41 0 253227.76 1969074.76
"154" "MG" "Casa Grande" 2241 7582376.56 0 893904.95 0 365100.24 1604700.97
"155" "MG" "Cascalho Rico" 2893 13617251.05 587431.41 4388926.7 37020.37 409894.56 2472716.12
"156" "MG" "Cassia" 17433 30659028.19 665940.32 3440797.25 30944.89 1512779.97 8698075.6
"157" "MG" "Cataguases" 70630 96362094.62 2484209.55 27306857.02 0 2392565.67 28828887.42
"158" "MG" "Catas Altas" 4938 23172338.2 781805.81 6157252.65 25110.92 1333162.77 4704243.32
"159" "MG" "Catas Altas da Noruega" 3489 6597245.19 0 775430.35 15945.8 111770.42 1577944.16
"160" "MG" "Catuji" 6614 12997003 442583.26 1662298.51 16578.24 447469.26 3001555.79
"161" "MG" "Catuti" 5067 11046663.08 517185.08 1197933.25 19122.16 510876.46 2484895.9
"162" "MG" "Caxambu" 21641 29851104.42 1406920.82 2838298.42 32002.18 818278.22 6131503.02
"163" "MG" "Cedro do Abaete" 1199 7684620.57 348019.39 616021.41 22114.2 494002.84 1959838.78
"164" "MG" "Centralina" 10271 15437347.94 764283.73 2091271.9 149043.72 683032.03 4575543.18
"165" "MG" "Chacara" 2856 9653153.48 246842.61 1011547.86 0 266319.82 2462544.97
